sha256,tamano_bytes,n_copias,principal,ruta,copiado_al_material_piloto
9c60a82ed2d9919440417ef0478dae4b3f67692decc65242f8a9bbae8ecea5cb,71237,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_04_similitud_es.png,NO_COPIADO
d62adebc07fd7d597d93021696902f4f1e08f6e4af5c2a6c118790378040ea16,109804,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_05_prototipos_es.png,NO_COPIADO
d62adebc07fd7d597d93021696902f4f1e08f6e4af5c2a6c118790378040ea16,109804,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_05_prototipos_es.png,NO_COPIADO
d62adebc07fd7d597d93021696902f4f1e08f6e4af5c2a6c118790378040ea16,109804,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_05_prototipos_es.png,NO_COPIADO
d7a8f9020a90c9d09d58b5793c5d2df5e709dc580b3955b49794909d933d7084,180215,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_06_pca_es.png,NO_COPIADO
d7a8f9020a90c9d09d58b5793c5d2df5e709dc580b3955b49794909d933d7084,180215,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_06_pca_es.png,NO_COPIADO
d7a8f9020a90c9d09d58b5793c5d2df5e709dc580b3955b49794909d933d7084,180215,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_06_pca_es.png,NO_COPIADO
7ecca0bd7035e0fdf390b4fe71905dbeeb5df0e768bfc36edb511d4e153cad23,70155,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_07_cambio_semantico_es.png,NO_COPIADO
7ecca0bd7035e0fdf390b4fe71905dbeeb5df0e768bfc36edb511d4e153cad23,70155,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_07_cambio_semantico_es.png,NO_COPIADO
7ecca0bd7035e0fdf390b4fe71905dbeeb5df0e768bfc36edb511d4e153cad23,70155,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_07_cambio_semantico_es.png,NO_COPIADO
33b5349fbff3d02d191f3c6da5da94ba4d9d514d0bcf9d4b1db3d0aa51da1b32,13357,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_08_correlaciones_es.png,NO_COPIADO
33b5349fbff3d02d191f3c6da5da94ba4d9d514d0bcf9d4b1db3d0aa51da1b32,13357,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_08_correlaciones_es.png,NO_COPIADO
33b5349fbff3d02d191f3c6da5da94ba4d9d514d0bcf9d4b1db3d0aa51da1b32,13357,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_08_correlaciones_es.png,NO_COPIADO
6cbc1c1a28fb93b7dfc220433894881d4b4efd55763d95306f28ccebf9533e51,4424,3,COPIA,Analisis agosto/articulo_1/resultados/tablas/descriptivos_hopper.csv,NO_COPIADO
6cbc1c1a28fb93b7dfc220433894881d4b4efd55763d95306f28ccebf9533e51,4424,3,COPIA,Analisis agosto/para_articulos/resultados/tablas/descriptivos_hopper.csv,NO_COPIADO
6cbc1c1a28fb93b7dfc220433894881d4b4efd55763d95306f28ccebf9533e51,4424,3,PRINCIPAL,Analisis agosto/resultados/tablas/descriptivos_hopper.csv,NO_COPIADO
de1fbbae50a9eab725c61b9b479b3004f89677f5b8f90a0e2945e8c05da949fc,445,3,COPIA,Analisis agosto/articulo_1/resultados/tablas/descriptivos_linguistica.csv,NO_COPIADO
de1fbbae50a9eab725c61b9b479b3004f89677f5b8f90a0e2945e8c05da949fc,445,3,COPIA,Analisis agosto/para_articulos/resultados/tablas/descriptivos_linguistica.csv,NO_COPIADO
de1fbbae50a9eab725c61b9b479b3004f89677f5b8f90a0e2945e8c05da949fc,445,3,PRINCIPAL,Analisis agosto/resultados/tablas/descriptivos_linguistica.csv,NO_COPIADO
3f4d300defb8823d739c36b6db4dbc31f433ca5e80d4ef955f13c69cdf6df6e8,230,3,COPIA,Analisis agosto/articulo_1/resultados/tablas/descriptivos_semantica.csv,NO_COPIADO
3f4d300defb8823d739c36b6db4dbc31f433ca5e80d4ef955f13c69cdf6df6e8,230,3,COPIA,Analisis agosto/para_articulos/resultados/tablas/descriptivos_semantica.csv,NO_COPIADO
3f4d300defb8823d739c36b6db4dbc31f433ca5e80d4ef955f13c69cdf6df6e8,230,3,PRINCIPAL,Analisis agosto/resultados/tablas/descriptivos_semantica.csv,NO_COPIADO
cea664416a24b8310e6902b411a72207ba307cbc3628ec5ccfbfdb5d935ec948,2012,2,PRINCIPAL,Analisis agosto/experimento_log.txt,05_auditoria/origen/experimento_log_Analisis_agosto.txt
cea664416a24b8310e6902b411a72207ba307cbc3628ec5ccfbfdb5d935ec948,2012,2,COPIA,Analisis agosto/para_articulos/experimento_log.txt,NO_COPIADO
b624af0a911b3c5111a67f450a40b0102b6458e343adfef67f6141d45bbe7da3,32556222,2,COPIA,Analisis agosto/para_articulos/scores_diccionarios_long.csv,NO_COPIADO
b624af0a911b3c5111a67f450a40b0102b6458e343adfef67f6141d45bbe7da3,32556222,2,PRINCIPAL,Analisis agosto/scores_diccionarios_long.csv,NO_COPIADO
706fbf3c132671679895b69cbfe321d1398cddc4d1d9549932b7f36dbc28b23a,5032,2,COPIA,Analisis agosto/para_articulos/scores_diccionarios_wide.csv,NO_COPIADO
706fbf3c132671679895b69cbfe321d1398cddc4d1d9549932b7f36dbc28b23a,5032,2,PRINCIPAL,Analisis agosto/scores_diccionarios_wide.csv,NO_COPIADO
f25f84d4327e7f72e13c2b09ec2bff23b9ea12592ed1046f682035239b75d1c7,2145,2,PRINCIPAL,Analisis agosto/analisis_piloto/README_ANALISIS_PILOTO.txt,03_resultados/README_ANALISIS_PILOTO.txt
f25f84d4327e7f72e13c2b09ec2bff23b9ea12592ed1046f682035239b75d1c7,2145,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/README_ANALISIS_PILOTO.txt,NO_COPIADO
0f1a77ded2a987b531bab3850472dcc8286412f53f9c6cef155f5aac5b9799d6,77351,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/ancho_piloto_completo.csv,02_datos_procesados/datos/ancho_piloto_completo.csv
0f1a77ded2a987b531bab3850472dcc8286412f53f9c6cef155f5aac5b9799d6,77351,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/ancho_piloto_completo.csv,NO_COPIADO
6df82c20ce7d61872349d8b1628dfa1adcbceef1367ca69e472e0551b53c9f2e,13891,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/ancho_piloto_completo.rds,02_datos_procesados/datos/ancho_piloto_completo.rds
6df82c20ce7d61872349d8b1628dfa1adcbceef1367ca69e472e0551b53c9f2e,13891,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/ancho_piloto_completo.rds,NO_COPIADO
9f78cbfb82d3c5c686e189d3ae42192ac99d36f167dc65e688d2e32949f05b4d,50083,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t1.rds,02_datos_procesados/datos/embeddings_piloto_t1.rds
9f78cbfb82d3c5c686e189d3ae42192ac99d36f167dc65e688d2e32949f05b4d,50083,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/embeddings_piloto_t1.rds,NO_COPIADO
5906bbdbe8fa002daee6c2a1578d204ddf990465e6f28172134dbce0c131e5ee,50072,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t2.rds,02_datos_procesados/datos/embeddings_piloto_t2.rds
5906bbdbe8fa002daee6c2a1578d204ddf990465e6f28172134dbce0c131e5ee,50072,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/embeddings_piloto_t2.rds,NO_COPIADO
c1636e67ed2c3ac35adbbcfcb6df0c1983a6ccd995710dbad8c9a52f9837663c,50067,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t3.rds,02_datos_procesados/datos/embeddings_piloto_t3.rds
c1636e67ed2c3ac35adbbcfcb6df0c1983a6ccd995710dbad8c9a52f9837663c,50067,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/embeddings_piloto_t3.rds,NO_COPIADO
