"variable","scale"
"dim_153",0.0451840386465076
"dim_154",0.0437100864846612
"dim_155",0.0237711192038699
"dim_156",0.0325165433845395
"dim_157",0.0387617472914884
"dim_158",0.0322853820542919
"dim_159",0.044362619003558
"dim_160",0.0400507652335497
"dim_161",0.0500218600817343
"dim_162",0.0270114370095372
"dim_163",0.0392961345894456
"dim_164",0.0284537742042464
"dim_165",0.0348131802093173
"dim_166",0.0346196903567959
"dim_167",0.0364938040957034
"dim_168",0.0336515495157196
"dim_169",0.0376459578189731
"dim_170",0.0266391228552375
"dim_171",0.0346697944874436
"dim_172",0.0293521510756218
"dim_173",0.0391096021824996
"dim_174",0.0322376533694252
"dim_175",0.0303185848393406
"dim_176",0.0317501350763951
"dim_177",0.0483862788512251
"dim_178",0.0313092440861373
"dim_179",0.0318089326480004
"dim_180",0.0287992645137758
"dim_181",0.0583770868653339
"dim_182",0.0294200434806884
"dim_183",0.0362162623878223
"dim_184",0.0352373461706435
"dim_185",0.0290460854166164
"dim_186",0.0277180755327758
"dim_187",0.0429525913738116
"dim_188",0.0314040614753129
"dim_189",0.0290438441276542
"dim_190",0.0361525363252377
"dim_191",0.0375951586536776
"dim_192",0.0307711341710433
"dim_193",0.03379809778594
"dim_194",0.0333865729796082
"dim_195",0.0375148436751419
"dim_196",0.0324519561645469
"dim_197",0.0371399745354056
"dim_198",0.0375811672568232
"dim_199",0.0430143336967313
"dim_200",0.0305871841815034
"dim_201",0.0400240154978867
"dim_202",0.0368225351382388
"dim_203",0.0370944185001177
"dim_204",0.0263824211963039
"dim_205",0.0272574028514455
"dim_206",0.0401056765291641
"dim_207",0.0365846767724429
"dim_208",0.0351160694805751
"dim_209",0.0395897766012297
"dim_210",0.0307276443798901
"dim_211",0.0235099179055851
"dim_212",0.0402875913431375
"dim_213",0.0403502855016366
"dim_214",0.0260186968190537
"dim_215",0.0280877460039769
"dim_216",0.0394061650242892
"dim_217",0.0370928235202157
"dim_218",0.0403524133900152
"dim_219",0.0350675615632075
"dim_220",0.0254351179496792
"dim_221",0.0400795267089827
"dim_222",0.0416151951866804
"dim_223",0.0377388891559467
"dim_224",0.0293089707865057
"dim_225",0.0448349136222356
"dim_226",0.0277959503003789
"dim_227",0.0378616992491701
"dim_228",0.0303850760031521
"dim_229",0.0303152995652404
"dim_230",0.0336172344209711
"dim_231",0.038950954872047
"dim_232",0.0451900842707031
"dim_233",0.0314578547444124
"dim_234",0.036350285327322
"dim_235",0.044442680517552
"dim_236",0.0340828954138156
"dim_237",0.0497295110505871
"dim_238",0.0268921682048151
"dim_239",0.0345529023696705
"dim_240",0.0329026104411154
"dim_241",0.031041325325609
"dim_242",0.0416338494320439
"dim_243",0.0334439759170818
"dim_244",0.0407234915393722
"dim_245",0.0386211905410757
"dim_246",0.0322105852832079
"dim_247",0.033663488056908
"dim_248",0.0377648821179412
"dim_249",0.0238023190627109
"dim_250",0.0307926147182221
"dim_251",0.0350142224878943
"dim_252",0.0339921046898493
"dim_253",0.0452917324657872
"dim_254",0.0366110035962398
"dim_255",0.0371919570113816
"dim_256",0.0341527079323423
"dim_257",0.038059513244038
"dim_258",0.0392157273284303
"dim_259",0.0274771275322405
"dim_260",0.0368870558104294
"dim_261",0.048434749365621
"dim_262",0.0411608531275177
"dim_263",0.0301108019374994
"dim_264",0.0407831662105376
"dim_265",0.0364988288113685
"dim_266",0.0366007614981623
"dim_267",0.0320947345678965
"dim_268",0.0325748559628439
"dim_269",0.030364331857102
"dim_270",0.0444117266485895
"dim_271",0.043234861393963
"dim_272",0.0370011475717478
"dim_273",0.0431394284373397
