dimension,center
235,-0.0696424044262796
236,-0.0485504927963701
237,0.0595706033205374
238,0.0170662596066588
239,-0.0172715771486306
240,0.0203670904997407
241,-0.0194752110059041
242,-0.0547941816940707
243,0.00583818169708
244,0.0267229187156971
245,-0.0382215346563038
246,0.0191643301216646
247,-0.0309540786552103
248,-0.0297962084069728
249,0.0265103942291104
250,0.0392756061437846
251,0.0606444660601425
252,-0.0393980728926515
253,-0.0458853055179183
254,-0.0131945720547852
255,-0.0750285755713381
256,0.0264227826683148
257,-0.0056553472311217
258,-0.0188182424891038
259,0.0259920163879215
260,0.0127851273088471
261,-0.0647571745375013
262,-0.0009129832190188
263,-0.05218563677519
264,-0.0025581244553071
265,-0.0324078751866054
266,0.0241029856453236
267,-0.0495025587113164
268,-0.0294472681039551
269,0.0189695548585088
270,0.001477316691751
271,-0.017432680554487
272,-0.0146414719892919
273,0.0214799137949776
274,0.0268078488965241
275,-0.0218804722144294
276,-0.0093029506240903
277,0.0180108202448841
278,-0.0090651828833003
279,0.0127348685665418
280,-0.0278062930845844
281,-0.0415845708585031
282,0.0001000438502622
283,0.0318112306502285
284,0.0332184861489041
285,0.0210381934258636
286,-0.0133214483788199
287,-0.0201141488227914
288,0.0501018924111483
289,0.0578609649381937
290,-0.0104866890338618
291,-0.0741177978590056
292,0.0715046340815489
293,-0.0333149392665587
294,0.0143304856651911
295,-0.0101057163109614
296,-0.0428706349058428
297,-0.0233752020392157
298,0.0104873448505537
299,0.0186921217546779
300,0.0748038874990601
301,0.0413432130763482
302,-0.0459226976482709
303,-0.0334376253281825
304,-0.0400332754090613
305,0.0054893336948243
306,-0.0572454613116679
307,0.0113325682415816
308,0.0109187981248232
309,0.0068497805257734
310,-0.0370837053683371
311,-0.0397238792467286
312,0.0040515446453491
313,-0.0093505875933919
314,0.0507201435913225
315,0.0276779536038329
316,0.0107391760633983
317,-0.0463867953187301
318,0.0071078044202026
319,-0.0015077335203309
320,-0.0808077143856342
321,-0.0380675431958092
322,-0.0223887964595543
323,-0.020310333514785
324,0.000416661159415
325,0.0332027568371595
326,-0.0405903161212734
327,0.0758429726276795
328,-0.048720732143168
329,-0.0803271209396949
330,0.0568396742997819
331,-0.0933011654298886
332,-0.0282252420278337
333,0.002369605393937
334,-0.003603705765213
335,0.001380578937531
336,0.0499445876692439
337,-0.0272550222552928
338,-0.0211105969322228
339,-0.029723162128504
340,0.0511296497138673
341,0.0788344032934381
342,-0.0182298566623326
343,-0.0050194645925807
344,0.0405673626075168
345,-0.0025167231227718
346,0.0011059707842849
