dimension,scale
189,0.0290438441276542
190,0.0361525363252377
191,0.0375951586536776
192,0.0307711341710433
193,0.03379809778594
194,0.0333865729796082
195,0.0375148436751419
196,0.0324519561645469
197,0.0371399745354056
198,0.0375811672568232
199,0.0430143336967313
200,0.0305871841815034
201,0.0400240154978867
202,0.0368225351382388
203,0.0370944185001177
204,0.0263824211963039
205,0.0272574028514455
206,0.0401056765291641
207,0.0365846767724429
208,0.0351160694805751
209,0.0395897766012297
210,0.0307276443798901
211,0.0235099179055851
212,0.0402875913431375
213,0.0403502855016366
214,0.0260186968190537
215,0.0280877460039769
216,0.0394061650242892
217,0.0370928235202157
218,0.0403524133900152
219,0.0350675615632075
220,0.0254351179496792
221,0.0400795267089827
222,0.0416151951866804
223,0.0377388891559467
224,0.0293089707865057
225,0.0448349136222356
226,0.0277959503003789
227,0.0378616992491701
228,0.0303850760031521
229,0.0303152995652404
230,0.0336172344209711
231,0.038950954872047
232,0.0451900842707031
233,0.0314578547444124
234,0.036350285327322
235,0.044442680517552
236,0.0340828954138156
237,0.0497295110505871
238,0.0268921682048151
239,0.0345529023696705
240,0.0329026104411154
241,0.031041325325609
242,0.0416338494320439
243,0.0334439759170818
244,0.0407234915393722
245,0.0386211905410757
246,0.0322105852832079
247,0.033663488056908
248,0.0377648821179412
249,0.0238023190627109
250,0.0307926147182221
251,0.0350142224878943
252,0.0339921046898493
253,0.0452917324657872
254,0.0366110035962398
255,0.0371919570113816
256,0.0341527079323423
257,0.038059513244038
258,0.0392157273284303
259,0.0274771275322405
260,0.0368870558104294
261,0.048434749365621
262,0.0411608531275177
263,0.0301108019374994
264,0.0407831662105376
265,0.0364988288113685
266,0.0366007614981623
267,0.0320947345678965
268,0.0325748559628439
269,0.030364331857102
270,0.0444117266485895
271,0.043234861393963
272,0.0370011475717478
273,0.0431394284373397
274,0.0297001335932533
275,0.0471850706651194
276,0.0284641535421889
277,0.0287873833682654
278,0.0346662376347277
279,0.0310787827365724
280,0.0342767424667228
281,0.0365254265424964
282,0.0348048951332952
283,0.0460446763809962
284,0.0374060854269511
285,0.0403552547626662
286,0.040210272726386
287,0.0365413254107599
288,0.0516389351534645
289,0.0345215913523401
290,0.031620048968661
291,0.0344486060257031
292,0.0375486560857344
293,0.0445484093618913
294,0.0289047677771684
295,0.0310324029843967
296,0.0433682145795999
297,0.0396718986975933
298,0.0403800621223211
299,0.0368409591378011
300,0.037535753734939
301,0.0431411335101883
302,0.0366317016569964
303,0.0314894993334936
304,0.0364558055408064
305,0.0353759201570679
306,0.0416275420908378
307,0.0315477546142908
308,0.0309450027413767
309,0.03757313158702
310,0.0342960355829109
311,0.0398506346839137
312,0.0274285696587585
313,0.0305972467359026
314,0.0240390265065351
315,0.0333205084527865
316,0.0323384408609777
317,0.0446235441515992
318,0.0307169408494091
319,0.0242026320060492
320,0.0298875106784722
321,0.0316609041964818
322,0.0366384014236247
323,0.0393171293399366
324,0.0421276174590143
325,0.0340727238289979
326,0.0335896498929619
327,0.0380728107398723
328,0.0420125460282899
329,0.0352492555743093
330,0.0514493545614801
331,0.0289396243026919
332,0.031163523025951
333,0.0300906882266099
334,0.0319411163869076
335,0.0341160257463969
336,0.0313617733633425
337,0.0278145218813605
338,0.0338381061788805
339,0.0239335873841487
340,0.0369780553699692
341,0.0417820185954865
342,0.0339958731483659
343,0.0326626617112288
344,0.0423372785316005
345,0.0279784489424118
346,0.0350949851656855
347,0.0307055741832035
348,0.0432318947226826
349,0.0355913544859768
350,0.0330008508909641
351,0.0292687840074247
352,0.0295137528951484
353,0.0303257400648063
354,0.0250402712605973
355,0.0361780540019334
356,0.0384709302671138
357,0.0443794751458245
358,0.0380030889272927
359,0.0397237004644084
360,0.0304623468972228
361,0.0429335877754747
362,0.0417470071658547
363,0.0322557078685121
364,0.0255076630647902
365,0.0392670514705178
366,0.0311316589341913
367,0.0448067776695657
